Trade Number,P&L
1,194.02106706734048
2,-169.5228863179036
3,159.7910760646664
4,146.38344492239048
5,-817.0623126650644
6,-131.1313729278736
7,476.31421321746166
8,-180.14055952578565
9,183.57022927736034
10,360.583092073015
11,312.03585086267776
12,-125.54245918165907
13,-152.6968970875787
14,126.90985770885527
15,119.89673989544099
16,267.9925661187772
17,249.77454719120942
18,-47.05273848112847
19,-56.58571693408885
20,9.199995096631028
21,-546.8061755150156
22,31.405629033240984
23,-228.06026553876654
24,-339.1189975826819
25,-77.65272904504309
26,2.377913737036579
27,-109.05644442022822
28,284.67583246354843
29,-167.07391196648314
30,690.0766283100202
31,-65.99950850716777
32,124.59089096939351
33,-568.5742569297217
34,-21.65618093710873
35,-104.96407320253456
36,24.649538874167774
37,264.51313483322156
38,-599.1888038967554
39,-4.688402005998796
40,-10.896242439850539
41,-21.93019006723989
42,148.64840858409298
43,319.7064044446124
44,-125.47634483800357
45,195.83583827944312
46,296.1315725515451
47,-473.5832408827955
48,185.95362569877398
49,32.26640927590779
50,-21.976609437424486
51,420.2380327712199
52,-254.7844113358442
53,-94.06567678257488
54,75.03721276927172
55,225.23207795333656
56,253.75142667632463
57,-219.40006408155386
58,-99.32324134906958
59,282.39640530799807
60,-176.01922447278776
61,-251.88789561510566
62,19.101335455699882
63,453.9424353233153
64,639.6992747803633
65,-306.5318715364192
66,453.9366493690977
67,-383.48510280896517
68,-27.421139626629156
69,374.817549339019
70,-176.7280550095602
71,1.9088162417283456
72,210.473185328643
73,190.181953020714
74,-30.744872334784304
75,371.84076639123305
76,-76.37287332742198
77,110.88510484389553
78,-13.071788805540564
79,8.108311061649147
80,145.14030490232835
81,124.58888781179485
82,-0.02348241089566727
83,-41.71205646499948
84,46.347593509126455
85,-76.3111988930832
86,556.8787826286607
87,-326.5411966312713
88,138.75971314191338
89,-89.45709992880438
90,-117.9966262445887
91,-173.14392124726146
92,190.92736743824935
93,-74.81310137889159
94,375.1220738900447
95,-270.112428800785
96,199.77247107509174
97,-156.61402864166303
98,116.75674612163857
99,411.5044564570708
100,144.6531178669029
101,-70.04768141195746
102,-391.2208764506977
103,-2.6138314903364517
104,-59.73732812723756
105,244.19180805405267
106,179.2375040654406
107,319.6859040305899
108,-209.21517208568548
109,186.8366889019635
110,-287.3903130210965
111,-180.957280456405
112,305.76641807756096
113,-328.2512198495315
114,-2.36911039014376
115,28.644771700459387
